Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
sp|Q14982|OPCM_HUMAN	sp|Q14982|OPCM_HUMAN	6	5	5	sp|Q14982|OPCM_HUMAN Opioid-binding protein/cell adhesion molecule OS=Homo sapiens OX=9606 GN=OPCML PE=1 SV=1	1	6	5	5	24.1	21.7	21.7	38.007	345	345	0	42.164	260700000	9				939	1127;1128;1349;2176;5365;6225	True;True;True;True;False;True	1133;1134;1356;2187;5406;6270	1308;1309;1310;1311;1569;1570;2499;6341;7358	1579;1580;1581;1582;1583;1879;1880;2984;7623;8853	1580;1581;1880;2984;7623;8853			-1
tr|H7C5G9|H7C5G9_HUMAN;sp|Q14BN4|SLMAP_HUMAN	tr|H7C5G9|H7C5G9_HUMAN;sp|Q14BN4|SLMAP_HUMAN	1;1	1;1	1;1	tr|H7C5G9|H7C5G9_HUMAN Sarcolemmal membrane-associated protein (Fragment) OS=Homo sapiens OX=9606 GN=SLMAP PE=1 SV=1;sp|Q14BN4|SLMAP_HUMAN Sarcolemmal membrane-associated protein OS=Homo sapiens OX=9606 GN=SLMAP PE=1 SV=1	2	1	1	1	7.1	7.1	7.1	19.334	170	170;828	0.0007734	7.1203	0	1				940	6890	True	6944	8159	9827	9827			-1;-1
sp|Q14CZ8|HECAM_HUMAN	sp|Q14CZ8|HECAM_HUMAN	1	1	1	sp|Q14CZ8|HECAM_HUMAN Hepatocyte cell adhesion molecule OS=Homo sapiens OX=9606 GN=HEPACAM PE=1 SV=1	1	1	1	1	5.5	5.5	5.5	46.026	416	416	0.0071755	5.9936	107790000	1				941	1015	True	1019	1176	1416	1416			-1
sp|Q15019|SEPT2_HUMAN;tr|B5MCX3|B5MCX3_HUMAN;tr|C9J938|C9J938_HUMAN;tr|C9JB25|C9JB25_HUMAN;tr|C9IZU3|C9IZU3_HUMAN;tr|C9IY94|C9IY94_HUMAN;tr|C9JQJ4|C9JQJ4_HUMAN;tr|C9J2Q4|C9J2Q4_HUMAN;tr|B5MD47|B5MD47_HUMAN;tr|C9JZI2|C9JZI2_HUMAN;tr|F8WB65|F8WB65_HUMAN;tr|H7C310|H7C310_HUMAN;tr|C9JFT1|C9JFT1_HUMAN;tr|H7C2Y0|H7C2Y0_HUMAN;tr|A0A1B0GXJ2|A0A1B0GXJ2_HUMAN;tr|C9JSE7|C9JSE7_HUMAN;tr|C9JT15|C9JT15_HUMAN	sp|Q15019|SEPT2_HUMAN;tr|B5MCX3|B5MCX3_HUMAN;tr|C9J938|C9J938_HUMAN;tr|C9JB25|C9JB25_HUMAN;tr|C9IZU3|C9IZU3_HUMAN;tr|C9IY94|C9IY94_HUMAN;tr|C9JQJ4|C9JQJ4_HUMAN;tr|C9J2Q4|C9J2Q4_HUMAN	6;5;4;4;4;3;3;3;2;2;2;2;2;2;2;1;1	6;5;4;4;4;3;3;3;2;2;2;2;2;2;2;1;1	6;5;4;4;4;3;3;3;2;2;2;2;2;2;2;1;1	sp|Q15019|SEPT2_HUMAN Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|B5MCX3|B5MCX3_HUMAN Septin 2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|C9J938|C9J938_HUMAN Septin 2 (Fragment) OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1;tr|C9JB25|C9JB2	17	6	6	6	29.4	29.4	29.4	41.487	361	361;321;148;173;131;121;147;184;94;105;80;161;72;188;71;52;50	0	45.4	154150000	8				942	615;4483;4580;5512;6227;6512	True;True;True;True;True;True	617;4505;4602;5554;6272;6560	703;5250;5378;6512;7360;7361;7701	842;6296;6461;7825;7826;8856;8857;9265	842;6296;6461;7826;8856;9265			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
sp|Q15042|RB3GP_HUMAN	sp|Q15042|RB3GP_HUMAN	1	1	1	sp|Q15042|RB3GP_HUMAN Rab3 GTPase-activating protein catalytic subunit OS=Homo sapiens OX=9606 GN=RAB3GAP1 PE=1 SV=3	1	1	1	1	3.6	3.6	3.6	110.52	981	981	0.0014749	6.7521	9208400	1				943	4450	True	4472	5208	6242	6242			-1
sp|Q15056|IF4H_HUMAN	sp|Q15056|IF4H_HUMAN	3	3	3	sp|Q15056|IF4H_HUMAN Eukaryotic translation initiation factor 4H OS=Homo sapiens OX=9606 GN=EIF4H PE=1 SV=5	1	3	3	3	25	25	25	27.385	248	248	0	19.757	55731000	3				944	1298;6130;6802	True;True;True	1305;6175;6854	1513;7248;8053	1817;8720;9707	1817;8720;9707			-1
sp|Q15084|PDIA6_HUMAN	sp|Q15084|PDIA6_HUMAN	5	5	5	sp|Q15084|PDIA6_HUMAN Protein disulfide-isomerase A6 OS=Homo sapiens OX=9606 GN=PDIA6 PE=1 SV=1	1	5	5	5	17.3	17.3	17.3	48.121	440	440	0	35.226	130150000	4				945	75;399;2365;3639;6447	True;True;True;True;True	75;399;2377;3658;6493	82;448;2717;4243;7621	104;535;3250;5078;9170	104;535;3250;5078;9170			-1
sp|Q15102|PA1B3_HUMAN;tr|M0R389|M0R389_HUMAN;tr|M0R1K3|M0R1K3_HUMAN	sp|Q15102|PA1B3_HUMAN;tr|M0R389|M0R389_HUMAN;tr|M0R1K3|M0R1K3_HUMAN	2;1;1	2;1;1	2;1;1	sp|Q15102|PA1B3_HUMAN Platelet-activating factor acetylhydrolase IB subunit gamma OS=Homo sapiens OX=9606 GN=PAFAH1B3 PE=1 SV=1;tr|M0R389|M0R389_HUMAN Platelet-activating factor acetylhydrolase IB subunit gamma (Fragment) OS=Homo sapiens OX=9606 GN=PAFAH1B	3	2	2	2	7.4	7.4	7.4	25.734	231	231;164;202	0	12.083	0	2				946	419;7538	True;True	419;7594	471;8928	564;10785	564;10785			-1;-1;-1
sp|Q15118|PDK1_HUMAN;tr|F8WC75|F8WC75_HUMAN;tr|C9JKT3|C9JKT3_HUMAN;tr|F8WEJ6|F8WEJ6_HUMAN;tr|C9IYB4|C9IYB4_HUMAN	sp|Q15118|PDK1_HUMAN;tr|F8WC75|F8WC75_HUMAN;tr|C9JKT3|C9JKT3_HUMAN;tr|F8WEJ6|F8WEJ6_HUMAN;tr|C9IYB4|C9IYB4_HUMAN	2;1;1;1;1	2;1;1;1;1	2;1;1;1;1	sp|Q15118|PDK1_HUMAN [Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial OS=Homo sapiens OX=9606 GN=PDK1 PE=1 SV=1;tr|F8WC75|F8WC75_HUMAN [Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial OS=Homo sapi	5	2	2	2	5.5	5.5	5.5	49.244	436	436;62;154;164;229	0	13.007	23984000	1				947	1399;3850	True;True	1406;3870	1627;4490	1945;5376	1945;5376			-1;-1;-1;-1;-1
sp|Q15119|PDK2_HUMAN;tr|D6RGV8|D6RGV8_HUMAN;tr|D6RHG2|D6RHG2_HUMAN;tr|D6RJH7|D6RJH7_HUMAN;tr|D6R983|D6R983_HUMAN;tr|D6RDN9|D6RDN9_HUMAN	sp|Q15119|PDK2_HUMAN;tr|D6RGV8|D6RGV8_HUMAN;tr|D6RHG2|D6RHG2_HUMAN;tr|D6RJH7|D6RJH7_HUMAN;tr|D6R983|D6R983_HUMAN;tr|D6RDN9|D6RDN9_HUMAN	2;1;1;1;1;1	2;1;1;1;1;1	2;1;1;1;1;1	sp|Q15119|PDK2_HUMAN [Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial OS=Homo sapiens OX=9606 GN=PDK2 PE=1 SV=2;tr|D6RGV8|D6RGV8_HUMAN [Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial (Fragment) O	6	2	2	2	7.9	7.9	7.9	46.153	407	407;98;129;141;160;259	0	22.39	21210000	2				948	2713;6609	True;True	2725;6658	3145;3146;7806	3758;3759;9389	3759;9389			-1;-1;-1;-1;-1;-1
sp|Q15120|PDK3_HUMAN	sp|Q15120|PDK3_HUMAN	4	4	4	sp|Q15120|PDK3_HUMAN [Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial OS=Homo sapiens OX=9606 GN=PDK3 PE=1 SV=1	1	4	4	4	17	17	17	46.938	406	406	0	28.583	50142000	5				949	60;2554;3851;6626	True;True;True;True	60;2566;3871;6675	65;2946;4491;7826	86;3523;3524;5377;9415	86;3523;5377;9415			-1
tr|B1AKZ5|B1AKZ5_HUMAN;sp|Q15121|PEA15_HUMAN	tr|B1AKZ5|B1AKZ5_HUMAN;sp|Q15121|PEA15_HUMAN	1;1	1;1	1;1	tr|B1AKZ5|B1AKZ5_HUMAN Astrocytic phosphoprotein PEA-15 OS=Homo sapiens OX=9606 GN=PEA15 PE=1 SV=1;sp|Q15121|PEA15_HUMAN Astrocytic phosphoprotein PEA-15 OS=Homo sapiens OX=9606 GN=PEA15 PE=1 SV=2	2	1	1	1	11.1	11.1	11.1	12.53	108	108;130	0.0021723	6.5834	21541000	1				950	5684	True	5726	6729	8085	8085			-1;-1
sp|Q15149|PLEC_HUMAN;tr|H0YDN1|H0YDN1_HUMAN;tr|E9PMV1|E9PMV1_HUMAN;tr|E9PKG0|E9PKG0_HUMAN;tr|A0A075B730|A0A075B730_HUMAN;sp|P58107|EPIPL_HUMAN;tr|E9PQ28|E9PQ28_HUMAN;tr|E9PIA2|E9PIA2_HUMAN	sp|Q15149|PLEC_HUMAN;tr|H0YDN1|H0YDN1_HUMAN	33;21;5;2;2;2;1;1	33;21;5;2;2;2;1;1	33;21;5;2;2;2;1;1	sp|Q15149|PLEC_HUMAN Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3;tr|H0YDN1|H0YDN1_HUMAN Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=9	8	33	33	33	8.4	8.4	8.4	531.78	4684	4684;3447;703;190;5063;5088;83;174	0	248.83	495110000	39				951	264;369;571;582;2085;2464;2473;3659;3845;3884;3991;4000;4045;4046;4052;4083;4308;4329;4362;4474;4812;5097;5422;5576;5615;5616;5748;5924;5966;6064;7178;7364;7453	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	264;369;573;584;2095;2476;2485;3678;3865;3904;4012;4021;4066;4067;4073;4104;4329;4350;4384;4496;4842;5133;5464;5618;5657;5658;5790;5966;6008;6109;7233;7419;7509	301;418;649;663;2394;2843;2854;4265;4485;4556;4681;4695;4752;4753;4760;4795;5045;5069;5109;5241;5634;6012;6409;6587;6630;6631;6804;7009;7058;7173;8508;8730;8828	367;502;781;796;2862;3400;3401;3413;5105;5369;5465;5615;5630;5693;5694;5702;5703;5746;5747;6054;6055;6083;6134;6286;6757;7230;7705;7706;7925;7975;7976;8171;8435;8436;8498;8634;10263;10538;10662;10663	367;502;781;796;2862;3400;3413;5105;5369;5465;5615;5630;5693;5694;5703;5747;6054;6083;6134;6286;6757;7230;7705;7925;7975;7976;8171;8435;8498;8634;10263;10538;10663			-1;-1;-1;-1;-1;-1;-1;-1
tr|E9PQN5|E9PQN5_HUMAN;tr|E9PNY3|E9PNY3_HUMAN;sp|Q15173|2A5B_HUMAN	tr|E9PQN5|E9PQN5_HUMAN;tr|E9PNY3|E9PNY3_HUMAN;sp|Q15173|2A5B_HUMAN	1;1;1	1;1;1	1;1;1	tr|E9PQN5|E9PQN5_HUMAN Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform (Fragment) OS=Homo sapiens OX=9606 GN=PPP2R5B PE=1 SV=1;tr|E9PNY3|E9PNY3_HUMAN Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isof	3	1	1	1	11.7	11.7	11.7	12.907	111	111;193;497	0.0021352	6.4751	7495100	1				952	2429	True	2441	2800	3349	3349			-1;-1;-1
tr|Q5SQT6|Q5SQT6_HUMAN;sp|Q15181|IPYR_HUMAN	tr|Q5SQT6|Q5SQT6_HUMAN;sp|Q15181|IPYR_HUMAN	2;2	2;2	2;2	tr|Q5SQT6|Q5SQT6_HUMAN Inorganic pyrophosphatase OS=Homo sapiens OX=9606 GN=PPA1 PE=1 SV=1;sp|Q15181|IPYR_HUMAN Inorganic pyrophosphatase OS=Homo sapiens OX=9606 GN=PPA1 PE=1 SV=2	2	2	2	2	14	14	14	19.982	178	178;289	0	11.589	19340000	3				953	7217;7842	True;True	7272;7899	8554;8555;9280	10318;10319;11213	10318;11213			-1;-1
sp|Q15185|TEBP_HUMAN;tr|A0A087WYT3|A0A087WYT3_HUMAN	sp|Q15185|TEBP_HUMAN;tr|A0A087WYT3|A0A087WYT3_HUMAN	1;1	1;1	1;1	sp|Q15185|TEBP_HUMAN Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1;tr|A0A087WYT3|A0A087WYT3_HUMAN Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1	2	1	1	1	8.1	8.1	8.1	18.697	160	160;164	0.0021614	6.564	5799400	1				954	4435	True	4457	5190	6221	6221			-1;-1
sp|Q15223|NECT1_HUMAN	sp|Q15223|NECT1_HUMAN	3	3	3	sp|Q15223|NECT1_HUMAN Nectin-1 OS=Homo sapiens OX=9606 GN=NECTIN1 PE=1 SV=3	1	3	3	3	10.6	10.6	10.6	57.157	517	517	0	20.734	94655000	4				955	3256;6585;7659	True;True;True	3274;6634;7716	3782;7780;9070	4541;4542;9360;10961	4542;9360;10961			-1
tr|H7C367|H7C367_HUMAN;sp|Q15233|NONO_HUMAN;tr|C9JYS8|C9JYS8_HUMAN;tr|C9IZL7|C9IZL7_HUMAN	tr|H7C367|H7C367_HUMAN;sp|Q15233|NONO_HUMAN;tr|C9JYS8|C9JYS8_HUMAN	3;3;2;1	2;2;2;0	2;2;2;0	tr|H7C367|H7C367_HUMAN Non-POU domain-containing octamer-binding protein (Fragment) OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=8;sp|Q15233|NONO_HUMAN Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4;tr|C9JYS8|C9JYS8_	4	3	2	2	14.5	11.1	11.1	28.09	234	234;471;247;207	0	12.867	43129000	3				956	757;1714;5671	False;True;True	759;1723;5713	865;1976;6710;6711	1049;2365;8063;8064	1049;2365;8064			-1;-1;-1;-1
sp|Q15276|RABE1_HUMAN	sp|Q15276|RABE1_HUMAN	1	1	1	sp|Q15276|RABE1_HUMAN Rab GTPase-binding effector protein 1 OS=Homo sapiens OX=9606 GN=RABEP1 PE=1 SV=2	1	1	1	1	2.2	2.2	2.2	99.289	862	862	0	11.527	0	1				957	301	True	301	345	417	417			-1
tr|F5H157|F5H157_HUMAN;sp|Q15286|RAB35_HUMAN	tr|F5H157|F5H157_HUMAN;sp|Q15286|RAB35_HUMAN	5;5	5;5	5;5	tr|F5H157|F5H157_HUMAN Ras-related protein Rab-35 (Fragment) OS=Homo sapiens OX=9606 GN=RAB35 PE=1 SV=1;sp|Q15286|RAB35_HUMAN Ras-related protein Rab-35 OS=Homo sapiens OX=9606 GN=RAB35 PE=1 SV=1	2	5	5	5	30.3	30.3	30.3	21.214	185	185;201	0	53.616	294910000	8				958	1525;3050;3051;5516;7599	True;True;True;True;True	1533;3062;3063;5558;7656	1769;3540;3541;6518;8994;8995;8996	2112;4235;4236;4237;7832;10863;10864;10865	2112;4236;4237;7832;10864			-1;-1
tr|F5GX39|F5GX39_HUMAN;tr|E7EQ72|E7EQ72_HUMAN;sp|Q15363|TMED2_HUMAN	tr|F5GX39|F5GX39_HUMAN;tr|E7EQ72|E7EQ72_HUMAN;sp|Q15363|TMED2_HUMAN	2;2;2	2;2;2	2;2;2	tr|F5GX39|F5GX39_HUMAN Transmembrane emp24 domain-containing protein 2 OS=Homo sapiens OX=9606 GN=TMED2 PE=1 SV=1;tr|E7EQ72|E7EQ72_HUMAN Transmembrane emp24 domain-containing protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=TMED2 PE=1 SV=2;sp|Q15363|TMED2_H	3	2	2	2	19	19	19	13.631	116	116;166;201	0	11.77	22996000	2				959	2509;3299	True;True	2521;3317	2896;3835	3465;4599	3465;4599			-1;-1;-1
sp|Q15365|PCBP1_HUMAN;tr|F8VTZ0|F8VTZ0_HUMAN	sp|Q15365|PCBP1_HUMAN	7;1	7;1	5;0	sp|Q15365|PCBP1_HUMAN Poly(rC)-binding protein 1 OS=Homo sapiens OX=9606 GN=PCBP1 PE=1 SV=2	2	7	7	5	34.6	34.6	25.8	37.497	356	356;64	0	76.076	195490000	12				960	193;338;1596;2958;3086;5362;7288	True;True;True;True;True;True;True	193;338;1604;2970;3103;5403;7343	224;385;1846;3412;3588;6338;8637;8638	275;466;2205;2206;2207;4085;4294;7620;10425;10426;10427;10428	275;466;2207;4085;4294;7620;10428			-1;-1
tr|H3BRU6|H3BRU6_HUMAN;tr|F8VZX2|F8VZX2_HUMAN;sp|Q15366|PCBP2_HUMAN;tr|F8W0G4|F8W0G4_HUMAN;tr|F8VXH9|F8VXH9_HUMAN;tr|F8W1G6|F8W1G6_HUMAN;tr|J3QT27|J3QT27_HUMAN;tr|E9PFP8|E9PFP8_HUMAN;sp|P57721|PCBP3_HUMAN;tr|H3BND9|H3BND9_HUMAN;tr|F8VRH0|F8VRH0_HUMAN	tr|H3BRU6|H3BRU6_HUMAN;tr|F8VZX2|F8VZX2_HUMAN;sp|Q15366|PCBP2_HUMAN;tr|F8W0G4|F8W0G4_HUMAN;tr|F8VXH9|F8VXH9_HUMAN;tr|F8W1G6|F8W1G6_HUMAN;tr|J3QT27|J3QT27_HUMAN;tr|E9PFP8|E9PFP8_HUMAN;sp|P57721|PCBP3_HUMAN	5;5;5;4;4;3;3;3;3;1;1	3;3;3;2;2;2;1;1;1;1;1	3;3;3;2;2;2;1;1;1;1;1	tr|H3BRU6|H3BRU6_HUMAN Poly(rC)-binding protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1;tr|F8VZX2|F8VZX2_HUMAN Poly(rC)-binding protein 2 OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1;sp|Q15366|PCBP2_HUMAN Poly(rC)-binding protein 2 OS=Homo sa	11	5	3	3	29.6	19.3	19.3	31.6	301	301;321;365;158;160;202;322;361;371;112;310	0	18.794	113120000	3				961	1596;2956;3086;3941;4551	False;True;False;True;True	1604;2968;3103;3962;4573	1846;3410;3588;4622;5347	2205;2206;2207;4083;4294;5544;6423	2207;4083;4294;5544;6423			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
tr|R4GMY8|R4GMY8_HUMAN;tr|E5RHG8|E5RHG8_HUMAN;sp|Q15369|ELOC_HUMAN	tr|R4GMY8|R4GMY8_HUMAN;tr|E5RHG8|E5RHG8_HUMAN;sp|Q15369|ELOC_HUMAN	3;3;3	3;3;3	3;3;3	tr|R4GMY8|R4GMY8_HUMAN Elongin-C OS=Homo sapiens OX=9606 GN=ELOC PE=1 SV=1;tr|E5RHG8|E5RHG8_HUMAN Elongin-C (Fragment) OS=Homo sapiens OX=9606 GN=ELOC PE=1 SV=1;sp|Q15369|ELOC_HUMAN Elongin-C OS=Homo sapiens OX=9606 GN=ELOC PE=1 SV=1	3	3	3	3	35.4	35.4	35.4	6.968	65	65;89;112	0	22.524	31555000	3				962	1364;3993;3994	True;True;True	1371;4014;4015	1588;4687;4688	1902;5621;5622	1902;5621;5622			-1;-1;-1
tr|B8ZZU8|B8ZZU8_HUMAN;sp|Q15370|ELOB_HUMAN;tr|I3L0M9|I3L0M9_HUMAN	tr|B8ZZU8|B8ZZU8_HUMAN;sp|Q15370|ELOB_HUMAN;tr|I3L0M9|I3L0M9_HUMAN	1;1;1	1;1;1	1;1;1	tr|B8ZZU8|B8ZZU8_HUMAN Elongin-B OS=Homo sapiens OX=9606 GN=ELOB PE=1 SV=1;sp|Q15370|ELOB_HUMAN Elongin-B OS=Homo sapiens OX=9606 GN=ELOB PE=1 SV=1;tr|I3L0M9|I3L0M9_HUMAN Elongin-B (Fragment) OS=Homo sapiens OX=9606 GN=ELOB PE=1 SV=1	3	1	1	1	22.1	22.1	22.1	12.527	113	113;118;140	0.00079554	7.5093	11659000	3				963	6582	True	6631	7777	9354;9355;9356	9356			-1;-1;-1
sp|Q15417|CNN3_HUMAN;tr|E9PDU6|E9PDU6_HUMAN	sp|Q15417|CNN3_HUMAN;tr|E9PDU6|E9PDU6_HUMAN	2;1	2;1	2;1	sp|Q15417|CNN3_HUMAN Calponin-3 OS=Homo sapiens OX=9606 GN=CNN3 PE=1 SV=1;tr|E9PDU6|E9PDU6_HUMAN Calponin (Fragment) OS=Homo sapiens OX=9606 GN=CNN3 PE=1 SV=1	2	2	2	2	9.1	9.1	9.1	36.413	329	329;185	0	11.697	57668000	3				964	252;6477	True;True	252;6524	288;7656	353;354;9213	354;9213			-1;-1
tr|K7EMT0|K7EMT0_HUMAN;sp|Q15428|SF3A2_HUMAN	tr|K7EMT0|K7EMT0_HUMAN;sp|Q15428|SF3A2_HUMAN	1;1	1;1	1;1	tr|K7EMT0|K7EMT0_HUMAN Splicing factor 3A subunit 2 (Fragment) OS=Homo sapiens OX=9606 GN=SF3A2 PE=1 SV=2;sp|Q15428|SF3A2_HUMAN Splicing factor 3A subunit 2 OS=Homo sapiens OX=9606 GN=SF3A2 PE=1 SV=2	2	1	1	1	10.4	10.4	10.4	15.224	135	135;464	0	13.478	6873300	1				965	6465	True	6511	7641	9195	9195			-1;-1
tr|H7C003|H7C003_HUMAN;sp|Q15435|PP1R7_HUMAN;tr|C9J177|C9J177_HUMAN;tr|H7C3Q5|H7C3Q5_HUMAN;tr|B5MBZ8|B5MBZ8_HUMAN;tr|C9JD73|C9JD73_HUMAN;tr|C9JRC4|C9JRC4_HUMAN	tr|H7C003|H7C003_HUMAN;sp|Q15435|PP1R7_HUMAN;tr|C9J177|C9J177_HUMAN;tr|H7C3Q5|H7C3Q5_HUMAN;tr|B5MBZ8|B5MBZ8_HUMAN;tr|C9JD73|C9JD73_HUMAN	4;4;3;2;2;2;1	4;4;3;2;2;2;1	4;4;3;2;2;2;1	tr|H7C003|H7C003_HUMAN Protein phosphatase 1 regulatory subunit 7 (Fragment) OS=Homo sapiens OX=9606 GN=PPP1R7 PE=1 SV=1;sp|Q15435|PP1R7_HUMAN Protein phosphatase 1 regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PPP1R7 PE=1 SV=1;tr|C9J177|C9J177_HUMAN Pro	7	4	4	4	13.7	13.7	13.7	38.633	335	335;360;289;108;274;282;184	0	48.12	59860000	5				966	315;1420;5984;7281	True;True;True;True	315;1427;6026;7336	360;1652;7077;8630	435;1975;8523;10416;10417	435;1975;8523;10416			-1;-1;-1;-1;-1;-1;-1
tr|F5H365|F5H365_HUMAN;sp|Q15436|SC23A_HUMAN;tr|G3V5X8|G3V5X8_HUMAN;tr|G3V4Q2|G3V4Q2_HUMAN;tr|G3V4V1|G3V4V1_HUMAN;tr|G3V1W4|G3V1W4_HUMAN;tr|G3V3G5|G3V3G5_HUMAN;tr|G3V2R6|G3V2R6_HUMAN;tr|G3V5K1|G3V5K1_HUMAN	tr|F5H365|F5H365_HUMAN;sp|Q15436|SC23A_HUMAN	5;5;2;2;2;2;2;2;1	5;5;2;2;2;2;2;2;1	5;5;2;2;2;2;2;2;1	tr|F5H365|F5H365_HUMAN Protein transport protein SEC23 OS=Homo sapiens OX=9606 GN=SEC23A PE=1 SV=1;sp|Q15436|SC23A_HUMAN Protein transport protein Sec23A OS=Homo sapiens OX=9606 GN=SEC23A PE=1 SV=2	9	5	5	5	10.6	10.6	10.6	82.968	736	736;765;85;86;93;108;140;169;40	0	37.667	57056000	4				967	2326;2593;2789;4900;6797	True;True;True;True;True	2338;2605;2801;4935;6849	2673;2992;3230;5760;8046	3199;3578;3858;6919;9697	3199;3578;3858;6919;9697			-1;-1;-1;-1;-1;-1;-1;-1;-1
sp|Q15555|MARE2_HUMAN;tr|K7EL66|K7EL66_HUMAN;tr|K7ERD8|K7ERD8_HUMAN	sp|Q15555|MARE2_HUMAN;tr|K7EL66|K7EL66_HUMAN;tr|K7ERD8|K7ERD8_HUMAN	4;2;2	4;2;2	4;2;2	sp|Q15555|MARE2_HUMAN Microtubule-associated protein RP/EB family member 2 OS=Homo sapiens OX=9606 GN=MAPRE2 PE=1 SV=1;tr|K7EL66|K7EL66_HUMAN Microtubule-associated protein RP/EB family member 2 (Fragment) OS=Homo sapiens OX=9606 GN=MAPRE2 PE=1 SV=1;tr|K7E	3	4	4	4	14.7	14.7	14.7	37.031	327	327;134;194	0	28.918	104990000	4				968	1981;3413;3680;5788	True;True;True;True	1991;3432;3699;5830	2277;3976;4289;6848	2728;4773;5137;8222	2728;4773;5137;8222			-1;-1;-1
sp|Q15691|MARE1_HUMAN	sp|Q15691|MARE1_HUMAN	2	2	2	sp|Q15691|MARE1_HUMAN Microtubule-associated protein RP/EB family member 1 OS=Homo sapiens OX=9606 GN=MAPRE1 PE=1 SV=3	1	2	2	2	10.1	10.1	10.1	29.999	268	268	0	12.438	11337000	1				969	740;4709	True;True	742;4736	845;5517	1021;6622	1021;6622			-1
tr|A0A087X0H8|A0A087X0H8_HUMAN;sp|Q15714|T22D1_HUMAN	tr|A0A087X0H8|A0A087X0H8_HUMAN;sp|Q15714|T22D1_HUMAN	1;1	1;1	1;1	tr|A0A087X0H8|A0A087X0H8_HUMAN TSC22 domain family protein 1 OS=Homo sapiens OX=9606 GN=TSC22D1 PE=1 SV=1;sp|Q15714|T22D1_HUMAN TSC22 domain family protein 1 OS=Homo sapiens OX=9606 GN=TSC22D1 PE=1 SV=3	2	1	1	1	14	14	14	9.3684	86	86;1073	0.00079618	7.5403	45598000	1				970	5177	True	5217	6109	7349	7349			-1;-1
sp|Q15746|MYLK_HUMAN	sp|Q15746|MYLK_HUMAN	1	1	1	sp|Q15746|MYLK_HUMAN Myosin light chain kinase, smooth muscle OS=Homo sapiens OX=9606 GN=MYLK PE=1 SV=4	1	1	1	1	0.4	0.4	0.4	210.71	1914	1914	0.0034341	6.2755	9400600	1				971	3954	True	3975	4637	5562	5562			-1
sp|Q15773|MLF2_HUMAN	sp|Q15773|MLF2_HUMAN	3	3	3	sp|Q15773|MLF2_HUMAN Myeloid leukemia factor 2 OS=Homo sapiens OX=9606 GN=MLF2 PE=1 SV=1	1	3	3	3	14.5	14.5	14.5	28.147	248	248	0	17.937	80330000	3				972	1132;3674;5517	True;True;True	1138;3693;5559	1316;4283;6519	1588;5126;7833	1588;5126;7833			-1
sp|Q15818|NPTX1_HUMAN	sp|Q15818|NPTX1_HUMAN	2	2	2	sp|Q15818|NPTX1_HUMAN Neuronal pentraxin-1 OS=Homo sapiens OX=9606 GN=NPTX1 PE=2 SV=2	1	2	2	2	10.2	10.2	10.2	47.122	432	432	0	21.668	79059000	2				973	1798;6663	True;True	1807;6714	2064;7869	2467;9468	2467;9468			-1
