Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs	Sequence coverage Sample1-rep-1 [%]	Sequence coverage Sample1-rep-3 [%]	Sequence coverage Sample1-rep-4 [%]	Sequence coverage Sample2-rep-1 [%]	Sequence coverage Sample2-rep-3 [%]	Sequence coverage Sample2-rep-4 [%]	Sequence coverage Sample3-rep-2 [%]	Sequence coverage Sample3-rep-3 [%]	Sequence coverage Sample3-rep-4 [%]
tr|H0YH88|H0YH88_HUMAN;tr|H0YHC3|H0YHC3_HUMAN;tr|F8W020|F8W020_HUMAN;tr|F8W118|F8W118_HUMAN;tr|F8VXI6|F8VXI6_HUMAN;tr|F8VUX1|F8VUX1_HUMAN;tr|F8VY35|F8VY35_HUMAN;tr|F8VV59|F8VV59_HUMAN;tr|F8W543|F8W543_HUMAN;tr|B7Z9C2|B7Z9C2_HUMAN;tr|F8W0J6|F8W0J6_HUMAN;tr|F5H4R6|F5H4R6_HUMAN;tr|H0YIV4|H0YIV4_HUMAN;sp|P55209|NP1L1_HUMAN	tr|H0YH88|H0YH88_HUMAN;tr|H0YHC3|H0YHC3_HUMAN;tr|F8W020|F8W020_HUMAN;tr|F8W118|F8W118_HUMAN;tr|F8VXI6|F8VXI6_HUMAN;tr|F8VUX1|F8VUX1_HUMAN;tr|F8VY35|F8VY35_HUMAN;tr|F8VV59|F8VV59_HUMAN;tr|F8W543|F8W543_HUMAN;tr|B7Z9C2|B7Z9C2_HUMAN;tr|F8W0J6|F8W0J6_HUMAN;tr|F5H4R6|F5H4R6_HUMAN;tr|H0YIV4|H0YIV4_HUMAN;sp|P55209|NP1L1_HUMAN	1;1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1;1	tr|H0YH88|H0YH88_HUMAN Nucleosome assembly protein 1-like 1 (Fragment) OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1;tr|H0YHC3|H0YHC3_HUMAN Nucleosome assembly protein 1-like 1 (Fragment) OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1;tr|F8W020|F8W020_HUMAN Nuc	14	1	1	1	10.2	10.2	10.2	20.966	177	177;198;207;209;215;237;264;327;328;349;379;383;385;391	0	17.594	12015000	1				635	3893	TRUE	3993	4800	5932	5932			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1	0	5.4	2.2	16.6	16.6	10.8	16.6	16.6	16.6
tr|H3BUU9|H3BUU9_HUMAN;sp|P55287|CAD11_HUMAN	tr|H3BUU9|H3BUU9_HUMAN;sp|P55287|CAD11_HUMAN	3;3	3;3	3;3	tr|H3BUU9|H3BUU9_HUMAN Cadherin-11 OS=Homo sapiens OX=9606 GN=CDH11 PE=1 SV=1;sp|P55287|CAD11_HUMAN Cadherin-11 OS=Homo sapiens OX=9606 GN=CDH11 PE=1 SV=2	2	3	3	3	8.7	8.7	8.7	73.792	670	670;796	0	22.65	19993000	4				636	2429;2670;5565	True;True;True	2472;2719;5690	2920;3251;6875	3610;4010;4011;8499	3610;4010;8499			-1;-1	11.4	17	15.9	21.3	19.3	18.8	17.2	22.2	23.3
sp|P55290|CAD13_HUMAN	sp|P55290|CAD13_HUMAN	3	3	3	sp|P55290|CAD13_HUMAN Cadherin-13 OS=Homo sapiens OX=9606 GN=CDH13 PE=1 SV=1	1	3	3	3	6	6	6	78.286	713	713	0	49.626	73229000	4				637	2325;3612;4503	True;True;True	2363;3695;4613	2801;4396;5560	3460;5420;6860;6861	3460;5420;6861			-1	1.8	5.8	1.8	10.5	10.5	10.3	8	8	10.5
sp|P55327|TPD52_HUMAN;tr|H0YC42|H0YC42_HUMAN	sp|P55327|TPD52_HUMAN;tr|H0YC42|H0YC42_HUMAN	2;2	2;2	2;2	sp|P55327|TPD52_HUMAN Tumor protein D52 OS=Homo sapiens OX=9606 GN=TPD52 PE=1 SV=2;tr|H0YC42|H0YC42_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=2	2	2	2	2	11.2	11.2	11.2	24.327	224	224;278	0	11.537	6018200	2				638	498;5174	True;True	506;5291	605;6371	726;7853	726;7853			-1;-1	40.4	47.8	40.4	43.4	42.8	43.4	42.8	52.8	52.8
tr|A8MXL6|A8MXL6_HUMAN;sp|P55735|SEC13_HUMAN	tr|A8MXL6|A8MXL6_HUMAN;sp|P55735|SEC13_HUMAN	1;1	1;1	1;1	tr|A8MXL6|A8MXL6_HUMAN Protein SEC13 homolog OS=Homo sapiens OX=9606 GN=SEC13 PE=1 SV=1;sp|P55735|SEC13_HUMAN Protein SEC13 homolog OS=Homo sapiens OX=9606 GN=SEC13 PE=1 SV=3	2	1	1	1	8.1	8.1	8.1	31.595	284	284;322	0.0068074	5.8205	3037500	1				639	955	TRUE	969	1167	1432	1432			-1;-1	10.8	10.8	10.8	10.8	10.8	10.8	10.8	10.8	10.8
sp|P55795|HNRH2_HUMAN;tr|G8JLB6|G8JLB6_HUMAN;sp|P31943|HNRH1_HUMAN;tr|E9PCY7|E9PCY7_HUMAN;tr|D6RIU0|D6RIU0_HUMAN;tr|H0YB39|H0YB39_HUMAN;tr|D6RBM0|D6RBM0_HUMAN;tr|E5RGH4|E5RGH4_HUMAN;tr|E5RGV0|E5RGV0_HUMAN;tr|E7EN40|E7EN40_HUMAN;tr|D6RIT2|D6RIT2_HUMAN;tr|D6RDU3|D6RDU3_HUMAN;tr|E7EQJ0|E7EQJ0_HUMAN;tr|D6RIH9|D6RIH9_HUMAN;tr|H0YBG7|H0YBG7_HUMAN;tr|H0YBD7|H0YBD7_HUMAN;tr|D6RFM3|D6RFM3_HUMAN;tr|D6R9T0|D6R9T0_HUMAN;sp|P52597|HNRPF_HUMAN;tr|H0YAQ2|H0YAQ2_HUMAN;tr|D6RAM1|D6RAM1_HUMAN;tr|D6RJ04|D6RJ04_HUMAN	sp|P55795|HNRH2_HUMAN;tr|G8JLB6|G8JLB6_HUMAN;sp|P31943|HNRH1_HUMAN;tr|E9PCY7|E9PCY7_HUMAN	5;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1	5;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1	5;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1	sp|P55795|HNRH2_HUMAN Heterogeneous nuclear ribonucleoprotein H2 OS=Homo sapiens OX=9606 GN=HNRNPH2 PE=1 SV=1;tr|G8JLB6|G8JLB6_HUMAN Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=1;sp|P31943|HNRH1_HUMAN Heterogeneous 	22	5	5	5	13.8	13.8	13.8	49.263	449	449;472;449;429;168;277;212;100;155;166;164;171;115;184;185;194;163;161;415;131;130;172	0	38.563	32339000	6				640	2010;3538;4601;4746;5467	True;True;True;True;True	2042;3613;4712;4857;5590	2397;4297;5681;5852;5853;6760	2960;5297;7007;7220;7221;8361	2960;5297;7007;7220;8361			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1	38.6	25.5	23.6	36.3	37.6	39.9	41.8	41.8	41.8
sp|P55809|SCOT1_HUMAN;tr|E9PDW2|E9PDW2_HUMAN;sp|Q9BYC2|SCOT2_HUMAN	sp|P55809|SCOT1_HUMAN;tr|E9PDW2|E9PDW2_HUMAN;sp|Q9BYC2|SCOT2_HUMAN	2;1;1	2;1;1	2;1;1	"sp|P55809|SCOT1_HUMAN Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=OXCT1 PE=1 SV=1;tr|E9PDW2|E9PDW2_HUMAN Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=OXCT1 PE=1 SV"	3	2	2	2	4.4	4.4	4.4	56.157	520	520;334;517	0	13.916	25830000	2				641	775;5940	True;True	788;6067	939;7323	1146;9053	1146;9053			-1;-1;-1	7.9	14.8	14.8	22.2	22.4	22.4	22.2	26.6	22.4
sp|P56159|GFRA1_HUMAN	sp|P56159|GFRA1_HUMAN	1	1	1	sp|P56159|GFRA1_HUMAN GDNF family receptor alpha-1 OS=Homo sapiens OX=9606 GN=GFRA1 PE=2 SV=2	1	1	1	1	3	3	3	51.455	465	465	0.00093809	8.9162	0	1				642	511	TRUE	519	619	742	742			-1	0.8	1.7	0.9	1.3	3.5	2.2	4.2	4	3.5
sp|Q5VTU8|AT5EL_HUMAN;sp|P56381|ATP5E_HUMAN	sp|Q5VTU8|AT5EL_HUMAN;sp|P56381|ATP5E_HUMAN	1;1	1;1	1;1	"sp|Q5VTU8|AT5EL_HUMAN ATP synthase subunit epsilon-like protein, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1EP2 PE=1 SV=1;sp|P56381|ATP5E_HUMAN ATP synthase subunit epsilon, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1E PE=1 SV=2"	2	1	1	1	15.7	15.7	15.7	5.8068	51	51;51	0.005544	5.8885	296230000	1				643	3958	TRUE	4060	4900	6069	6069			-1;-1	0	0	0	3.4	3.4	3.4	3.4	3.4	3.4
sp|P56385|ATP5I_HUMAN	sp|P56385|ATP5I_HUMAN	2	2	2	"sp|P56385|ATP5I_HUMAN ATP synthase subunit e, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5ME PE=1 SV=2"	1	2	2	2	17.4	17.4	17.4	7.9331	69	69	0	13.881	66769000	7				644	3638;5672	True;True	3724;5799	4435;4436;7010	5483;5484;5485;5486;8670;8671;8672	5486;8671			-1	7.5	7.5	7.5	7.5	7.5	7.5	7.5	7.5	7.5
tr|R4GN43|R4GN43_HUMAN;tr|A0A0C4DGS0|A0A0C4DGS0_HUMAN;sp|P56556|NDUA6_HUMAN;tr|A0A2Y9D025|A0A2Y9D025_HUMAN	tr|R4GN43|R4GN43_HUMAN;tr|A0A0C4DGS0|A0A0C4DGS0_HUMAN;sp|P56556|NDUA6_HUMAN;tr|A0A2Y9D025|A0A2Y9D025_HUMAN	1;1;1;1	1;1;1;1	1;1;1;1	tr|R4GN43|R4GN43_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Homo sapiens OX=9606 GN=NDUFA6 PE=1 SV=1;tr|A0A0C4DGS0|A0A0C4DGS0_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Homo sapiens OX=9606 GN=NDUFA6 PE	4	1	1	1	11.3	11.3	11.3	8.5099	71	71;128;128;154	0.0042403	5.9655	27486000	1				645	5810	TRUE	5937	7165	8866	8866			-1;-1;-1;-1	0	0	0	7.5	7.5	4.3	7.5	4.3	7.5
tr|F8WBF4|F8WBF4_HUMAN;tr|C9K0I4|C9K0I4_HUMAN;tr|F8WDH1|F8WDH1_HUMAN;sp|P56557|TM50B_HUMAN	tr|F8WBF4|F8WBF4_HUMAN;tr|C9K0I4|C9K0I4_HUMAN;tr|F8WDH1|F8WDH1_HUMAN;sp|P56557|TM50B_HUMAN	1;1;1;1	1;1;1;1	1;1;1;1	tr|F8WBF4|F8WBF4_HUMAN Transmembrane protein 50B OS=Homo sapiens OX=9606 GN=TMEM50B PE=1 SV=1;tr|C9K0I4|C9K0I4_HUMAN Transmembrane protein 50B (Fragment) OS=Homo sapiens OX=9606 GN=TMEM50B PE=1 SV=1;tr|F8WDH1|F8WDH1_HUMAN Transmembrane protein 50B OS=Homo 	4	1	1	1	18.2	18.2	18.2	4.9386	44	44;81;151;158	0.0015432	6.3707	3546600	1				646	217	TRUE	220	271	326	326			-1;-1;-1;-1	0	5.1	0	5.1	5.1	9	5.1	9.3	9.3
tr|E9PJW1|E9PJW1_HUMAN;tr|E9PQU9|E9PQU9_HUMAN;tr|E9PJV6|E9PJV6_HUMAN;tr|E9PIC2|E9PIC2_HUMAN;sp|P56962|STX17_HUMAN	tr|E9PJW1|E9PJW1_HUMAN;tr|E9PQU9|E9PQU9_HUMAN;tr|E9PJV6|E9PJV6_HUMAN;tr|E9PIC2|E9PIC2_HUMAN;sp|P56962|STX17_HUMAN	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	tr|E9PJW1|E9PJW1_HUMAN Syntaxin-17 OS=Homo sapiens OX=9606 GN=STX17 PE=1 SV=1;tr|E9PQU9|E9PQU9_HUMAN Syntaxin-17 OS=Homo sapiens OX=9606 GN=STX17 PE=1 SV=1;tr|E9PJV6|E9PJV6_HUMAN Syntaxin-17 OS=Homo sapiens OX=9606 GN=STX17 PE=1 SV=1;tr|E9PIC2|E9PIC2_HUMAN	5	1	1	1	22	22	22	4.9858	41	41;45;68;141;302	0.0055905	5.9187	0	1				647	2491	TRUE	2534	2995	3701	3701			-1;-1;-1;-1;-1	23.7	21.7	19.6	19.6	26.8	26.8	26.8	26.8	24.9
sp|P57105|SYJ2B_HUMAN;tr|A0A087X1F5|A0A087X1F5_HUMAN;tr|A0A087WYV9|A0A087WYV9_HUMAN;tr|A0A087WUM0|A0A087WUM0_HUMAN	sp|P57105|SYJ2B_HUMAN;tr|A0A087X1F5|A0A087X1F5_HUMAN;tr|A0A087WYV9|A0A087WYV9_HUMAN;tr|A0A087WUM0|A0A087WUM0_HUMAN	1;1;1;1	1;1;1;1	1;1;1;1	sp|P57105|SYJ2B_HUMAN Synaptojanin-2-binding protein OS=Homo sapiens OX=9606 GN=SYNJ2BP PE=1 SV=2;tr|A0A087X1F5|A0A087X1F5_HUMAN SYNJ2BP-COX16 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=SYNJ2BP-COX16 PE=4 SV=6;tr|A0A087WYV9|A0A087WYV9_HUMAN SYNJ2BP-	4	1	1	1	11	11	11	15.928	145	145;152;182;186	0	16.403	4403400	1				648	3122	TRUE	3177	3777	4661	4661			-1;-1;-1;-1	0	3.6	3.9	21.7	25.6	21.7	21.7	25.6	25.6
sp|P58401|NRX2B_HUMAN;tr|G5E9G7|G5E9G7_HUMAN;sp|Q9P2S2|NRX2A_HUMAN;tr|H7C2R8|H7C2R8_HUMAN;tr|A0A0D9SFY6|A0A0D9SFY6_HUMAN;tr|H0Y568|H0Y568_HUMAN;tr|H7BYC7|H7BYC7_HUMAN;tr|A0A1B0GTL0|A0A1B0GTL0_HUMAN;tr|Q08AH0|Q08AH0_HUMAN	sp|P58401|NRX2B_HUMAN;tr|G5E9G7|G5E9G7_HUMAN;sp|Q9P2S2|NRX2A_HUMAN;tr|H7C2R8|H7C2R8_HUMAN	3;3;3;2;1;1;1;1;1	2;2;2;2;0;0;0;0;0	2;2;2;2;0;0;0;0;0	"sp|P58401|NRX2B_HUMAN Neurexin-2-beta OS=Homo sapiens OX=9606 GN=NRXN2 PE=1 SV=1;tr|G5E9G7|G5E9G7_HUMAN Neurexin 2, isoform CRA_a OS=Homo sapiens OX=9606 GN=NRXN2 PE=1 SV=1;sp|Q9P2S2|NRX2A_HUMAN Neurexin-2 OS=Homo sapiens OX=9606 GN=NRXN2 PE=2 SV=1;tr|H7C2"	9	3	2	2	6	3.8	3.8	70.926	666	666;1705;1712;276;75;139;142;143;198	0	11.592	11383000	2				649	3923;4111;5539	False;True;True	4024;4214;5664	4857;5092;6846	6016;6299;8464	6016;6299;8464			-1;-1;-1;-1;-1;-1;-1;-1;-1	17.7	30.9	29.3	41.4	41.4	41.4	41.4	41.4	41.4
tr|K7ENE8|K7ENE8_HUMAN;sp|P58549|FXYD7_HUMAN;tr|K7EKU3|K7EKU3_HUMAN	tr|K7ENE8|K7ENE8_HUMAN;sp|P58549|FXYD7_HUMAN;tr|K7EKU3|K7EKU3_HUMAN	2;2;2	2;2;2	2;2;2	tr|K7ENE8|K7ENE8_HUMAN FXYD domain-containing ion transport regulator OS=Homo sapiens OX=9606 GN=FXYD7 PE=1 SV=1;sp|P58549|FXYD7_HUMAN FXYD domain-containing ion transport regulator 7 OS=Homo sapiens OX=9606 GN=FXYD7 PE=1 SV=1;tr|K7EKU3|K7EKU3_HUMAN FXYD d	3	2	2	2	20.8	20.8	20.8	8.1514	77	77;80;117	0	11.829	326650000	2				650	4349;4389	True;True	4457;4498	5382;5434	6650;6711	6650;6711			-1;-1;-1	71.9	42.1	14	59.6	14	42.1	59.6	59.6	59.6
sp|P59190|RAB15_HUMAN;tr|G3V196|G3V196_HUMAN;tr|A0A2R8YFB8|A0A2R8YFB8_HUMAN;tr|G3V562|G3V562_HUMAN	sp|P59190|RAB15_HUMAN;tr|G3V196|G3V196_HUMAN;tr|A0A2R8YFB8|A0A2R8YFB8_HUMAN;tr|G3V562|G3V562_HUMAN	2;2;2;1	1;1;1;1	1;1;1;1	sp|P59190|RAB15_HUMAN Ras-related protein Rab-15 OS=Homo sapiens OX=9606 GN=RAB15 PE=1 SV=1;tr|G3V196|G3V196_HUMAN Ras-related protein Rab-15 OS=Homo sapiens OX=9606 GN=RAB15 PE=1 SV=2;tr|A0A2R8YFB8|A0A2R8YFB8_HUMAN Ras-related protein Rab-15 OS=Homo sapie	4	2	1	1	9	3.8	3.8	24.39	212	212;237;246;166	0.009849	5.6875	29048000	1				651	1224;3005	True;False	1242;3058	1475;3645	1793;4498;4499	1793;4498			-1;-1;-1;-1	8.6	8.6	8.6	17.3	17.3	17.3	17.3	17.3	17.3
sp|P59768|GBG2_HUMAN;tr|G3V2C9|G3V2C9_HUMAN;tr|G3V3J9|G3V3J9_HUMAN;tr|G3V2N0|G3V2N0_HUMAN;tr|G3V415|G3V415_HUMAN	sp|P59768|GBG2_HUMAN;tr|G3V2C9|G3V2C9_HUMAN;tr|G3V3J9|G3V3J9_HUMAN;tr|G3V2N0|G3V2N0_HUMAN	3;2;2;2;1	3;2;2;2;1	3;2;2;2;1	sp|P59768|GBG2_HUMAN Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 OS=Homo sapiens OX=9606 GN=GNG2 PE=1 SV=2;tr|G3V2C9|G3V2C9_HUMAN Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 (Fragment) OS=Homo sapiens OX=9606 GN=	5	3	3	3	49.3	49.3	49.3	7.8501	71	71;52;102;110;61	0	33.924	652960000	4				652	538;1031;3419	True;True;True	546;1046;3480	651;1257;4142	779;1533;1534;5116	779;1533;5116			-1;-1;-1;-1;-1	29	29	29	29	29	29	29	29	29
tr|F8WDD7|F8WDD7_HUMAN;sp|P59998|ARPC4_HUMAN;tr|F8WCF6|F8WCF6_HUMAN;tr|A0A0A6YYG9|A0A0A6YYG9_HUMAN;tr|F8WE39|F8WE39_HUMAN;tr|H7C0A3|H7C0A3_HUMAN;tr|F8WDW3|F8WDW3_HUMAN	tr|F8WDD7|F8WDD7_HUMAN;sp|P59998|ARPC4_HUMAN;tr|F8WCF6|F8WCF6_HUMAN;tr|A0A0A6YYG9|A0A0A6YYG9_HUMAN;tr|F8WE39|F8WE39_HUMAN;tr|H7C0A3|H7C0A3_HUMAN	3;3;3;3;2;2;1	3;3;3;3;2;2;1	3;3;3;3;2;2;1	tr|F8WDD7|F8WDD7_HUMAN Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens OX=9606 GN=ARPC4 PE=4 SV=1;sp|P59998|ARPC4_HUMAN Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens OX=9606 GN=ARPC4 PE=1 SV=3;tr|F8WCF6|F8WCF6_HUMAN Actin-related 	7	3	3	3	28.3	28.3	28.3	13.057	113	113;168;181;625;47;167;44	0	18.353	56305000	3				653	1154;1985;4859	True;True;True	1171;2016;4972	1395;2368;5986	1700;2923;7379	1700;2923;7379			-1;-1;-1;-1;-1;-1;-1	0	0	0	2.2	4.3	2.2	2	4.3	4.3
sp|P60059|SC61G_HUMAN	sp|P60059|SC61G_HUMAN	1	1	1	sp|P60059|SC61G_HUMAN Protein transport protein Sec61 subunit gamma OS=Homo sapiens OX=9606 GN=SEC61G PE=1 SV=1	1	1	1	1	17.6	17.6	17.6	7.7412	68	68	0.00096432	10.182	24525000	1				654	3411	TRUE	3471	4133	5106	5106			-1	2.1	6.3	6.3	10.4	6.3	6.3	10.4	13.4	10.4
sp|P60174|TPIS_HUMAN;tr|U3KPZ0|U3KPZ0_HUMAN;tr|U3KQF3|U3KQF3_HUMAN;tr|U3KPS5|U3KPS5_HUMAN	sp|P60174|TPIS_HUMAN;tr|U3KPZ0|U3KPZ0_HUMAN	11;6;5;1	11;6;5;1	11;6;5;1	sp|P60174|TPIS_HUMAN Triosephosphate isomerase OS=Homo sapiens OX=9606 GN=TPI1 PE=1 SV=3;tr|U3KPZ0|U3KPZ0_HUMAN Triosephosphate isomerase (Fragment) OS=Homo sapiens OX=9606 GN=TPI1 PE=1 SV=1	4	11	11	11	48.6	48.6	48.6	30.791	286	286;113;98;38	0	87.801	1079600000	14				655	1129;1130;2015;2057;2233;2762;4860;5474;5774;5816;5821	True;True;True;True;True;True;True;True;True;True;True	1146;1147;2047;2089;2265;2813;4973;5597;5901;5943;5948	1365;1366;2402;2452;2646;3365;5987;6768;7120;7172;7178	1664;1665;2965;3025;3026;3027;3261;4154;7380;8372;8809;8810;8873;8879	1664;1665;2965;3025;3261;4154;7380;8372;8809;8873;8879			-1;-1;-1;-1	13.6	10.9	10.9	20.5	20.5	20.5	20.5	17.9	20.5
sp|P60201|MYPR_HUMAN;tr|B1B1G3|B1B1G3_HUMAN;tr|B1B1G4|B1B1G4_HUMAN;tr|B1B1G6|B1B1G6_HUMAN;tr|B1B1G1|B1B1G1_HUMAN;tr|B1B1G2|B1B1G2_HUMAN	sp|P60201|MYPR_HUMAN;tr|B1B1G3|B1B1G3_HUMAN;tr|B1B1G4|B1B1G4_HUMAN;tr|B1B1G6|B1B1G6_HUMAN	6;3;3;3;2;2	6;3;3;3;2;2	6;3;3;3;2;2	sp|P60201|MYPR_HUMAN Myelin proteolipid protein OS=Homo sapiens OX=9606 GN=PLP1 PE=1 SV=2;tr|B1B1G3|B1B1G3_HUMAN Myelin proteolipid protein (Fragment) OS=Homo sapiens OX=9606 GN=PLP1 PE=1 SV=8;tr|B1B1G4|B1B1G4_HUMAN Myelin proteolipid protein (Fragment) OS	6	6	6	6	23.1	23.1	23.1	30.077	277	277;122;127;136;100;111	0	81.722	3060300000	14				656	1740;1753;2900;3649;5169;5353	True;True;True;True;True;True	1766;1779;2952;3737;3738;5286;5474	2081;2097;2098;2099;3521;4449;4450;6366;6626	2559;2578;2579;2580;2581;2582;2583;2584;2585;4350;5504;5505;7846;8183	2559;2580;4350;5504;7846;8183	107	206	-1;-1;-1;-1;-1;-1	22.6	30.8	30.8	40.6	32.3	40.6	32.3	40.6	40.6
sp|P60468|SC61B_HUMAN	sp|P60468|SC61B_HUMAN	1	1	1	sp|P60468|SC61B_HUMAN Protein transport protein Sec61 subunit beta OS=Homo sapiens OX=9606 GN=SEC61B PE=1 SV=2	1	1	1	1	15.6	15.6	15.6	9.9743	96	96	0.00089047	7.7311	16740000	1				657	3937	TRUE	4038	4872	6032	6032			-1	71.1	71.1	67.6	68.9	60.4	68.9	72.3	72.3	72.3
sp|P60602|ROMO1_HUMAN	sp|P60602|ROMO1_HUMAN	1	1	1	sp|P60602|ROMO1_HUMAN Reactive oxygen species modulator 1 OS=Homo sapiens OX=9606 GN=ROMO1 PE=1 SV=1	1	1	1	1	21.5	21.5	21.5	8.1828	79	79	0	16.759	2983800	2				658	3946	TRUE	4047	4882	6046;6047	6047			-1	0	8.8	0	27.1	18.3	27.1	27.1	19.1	27.1
tr|F8W1R7|F8W1R7_HUMAN;sp|P60660|MYL6_HUMAN;tr|G3V1V0|G3V1V0_HUMAN;tr|G3V1Y7|G3V1Y7_HUMAN;tr|J3KND3|J3KND3_HUMAN;tr|G8JLA2|G8JLA2_HUMAN;tr|B7Z6Z4|B7Z6Z4_HUMAN;tr|F8VPF3|F8VPF3_HUMAN;tr|F8VZU9|F8VZU9_HUMAN;tr|F8W180|F8W180_HUMAN;tr|F8W1I5|F8W1I5_HUMAN;sp|P14649|MYL6B_HUMAN	tr|F8W1R7|F8W1R7_HUMAN;sp|P60660|MYL6_HUMAN;tr|G3V1V0|G3V1V0_HUMAN;tr|G3V1Y7|G3V1Y7_HUMAN;tr|J3KND3|J3KND3_HUMAN;tr|G8JLA2|G8JLA2_HUMAN;tr|B7Z6Z4|B7Z6Z4_HUMAN;tr|F8VPF3|F8VPF3_HUMAN	5;5;5;4;4;4;4;3;2;2;1;1	5;5;5;4;4;4;4;3;2;2;1;1	5;5;5;4;4;4;4;3;2;2;1;1	tr|F8W1R7|F8W1R7_HUMAN Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=1;sp|P60660|MYL6_HUMAN Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=2;tr|G3V1V0|G3V1V0_HUMAN Myosin light polypeptide 6 OS=Homo sapiens OX=9606 	12	5	5	5	44.1	44.1	44.1	16.29	145	145;151;161;115;152;152;238;130;103;196;175;208	0	38.582	181590000	5				659	357;673;994;3740;5556	True;True;True;True;True	361;685;1009;3831;5681	436;822;1214;4574;6865	521;999;1484;5653;8486	521;999;1484;5653;8486			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1	0	2.7	4.5	7.2	7.2	12	7.2	7.2	7.2
